id,date,current_role,other_role_specified,current_salary,education,age,gender,ethnicity,location,other_location_specified
62a367ed18134ddc75cee697,2022-06-10,Data Analyst,NA,75500,Bachelors,23,Male,Hispanic or Latino,United States,NA
62a36802f8f7561645857e38,2022-06-10,Data Analyst,NA,75500,Masters,33,Female,Asian or Asian American,United Kingdom,NA
62a3684ebc6861bf31771f15,2022-06-10,Data Analyst,NA,115500,Bachelors,25,Male,White or Caucasian,United States,NA
62a3688df8f7561645857f7e,2022-06-10,Data Analyst,NA,20000,Masters,27,Female,White or Caucasian,Other,Kosovo
62a368ee2e54c9003e537e4a,2022-06-10,Data Analyst,NA,20000,Bachelors,30,Male,White or Caucasian,United Kingdom,NA
62a369280a77c1a77f661ad0,2022-06-10,Data Analyst,NA,20000,Bachelors,29,Male,Black or African American,Other,Nigeria 
62a36969f8f756164585821d,2022-06-10,Other,Analyst Primary Market Intelligence,20000,Masters,25,Male,Other,India,NA
62a3697ff408bae018ed948b,2022-06-10,Data Analyst,NA,95500,High School,40,Male,Hispanic or Latino,United States,NA
62a36ac6cf255543173063d8,2022-06-10,Data Analyst,NA,53000,Bachelors,29,Female,Other,Canada,NA
62a36ad1f408bae018ed9793,2022-06-10,Data Analyst,NA,53000,Masters,29,Male,Asian or Asian American,India,NA
62a36b6c24a26260273882a2,2022-06-10,Data Analyst,NA,20000,Masters,28,Male,Black or African American,Other,Nigeria 
62a36b862e54c9003e5383c6,2022-06-10,Other,software engineer,95500,Bachelors,34,Male,White or Caucasian,United Kingdom,NA
62a36d12f8d5efcc22f82cd8,2022-06-10,Student/Looking/None,NA,20000,Masters,24,Male,White or Caucasian,Other,Belgium
62a36d3124a262602738862c,2022-06-10,Data Analyst,NA,20000,Bachelors,26,Male,Other,Other,Iraq
62a36e470a77c1a77f662470,2022-06-10,Data Analyst,NA,137500,Bachelors,28,Male,Hispanic or Latino,United States,NA
62a36e7024a262602738890a,2022-06-10,Student/Looking/None,NA,20000,Masters,25,Male,White or Caucasian,Other,Germany
62a36fe67dc029e2d66c5303,2022-06-10,Data Analyst,NA,20000,Bachelors,33,Male,Hispanic or Latino,Other,Colombia
62a3701f575fa3a5ae89164e,2022-06-10,Data Analyst,NA,75500,Masters,30,Male,White or Caucasian,Other,Ireland 
62a370635d257a28a30de5eb,2022-06-10,Data Analyst,NA,20000,Bachelors,35,Male,Other,India,NA
62a37128d8c00e9f541a39dd,2022-06-10,Data Analyst,NA,20000,Bachelors,25,Male,White or Caucasian,Other,Romania
62a3715124a2626027388f02,2022-06-10,Data Analyst,NA,20000,Bachelors,23,Male,White or Caucasian,Other,Spain
62a37222cf2555431730732d,2022-06-10,Data Engineer,NA,20000,Bachelors,24,Male,Hispanic or Latino,Other,Mexico
62a373efbc6861bf3177360b,2022-06-10,Data Analyst,NA,187500,Masters,27,Male,Black or African American,United States,NA
62a3759e5d257a28a30def3a,2022-06-10,Data Analyst,NA,75500,Bachelors,32,Male,Asian or Asian American,United States,NA
62a3777624a262602738997e,2022-06-10,Data Analyst,NA,53000,Bachelors,50,Male,White or Caucasian,Canada,NA
62a377987dc029e2d66c638d,2022-06-10,Data Architect,NA,75500,High School,29,Male,White or Caucasian,United States,NA
62a377f424a2626027389af3,2022-06-10,Data Analyst,NA,20000,Bachelors,41,Male,Hispanic or Latino,Other,Peru
62a3784c0f8c8599d5af8fbc,2022-06-10,Other,Data Integrity,20000,Associates,23,Male,White or Caucasian,United States,NA
62a37a43d8c00e9f541a4a7c,2022-06-10,Data Analyst,NA,20000,Bachelors,31,Male,Black or African American,Other,Nigeria
